image,tag,total_layers,file_layer,image_size(byte),layer_size(byte),file_size(byte),filepath
jruby,latest,11,1,340748337,123905223,34,/etc/ld.so.conf
jruby,latest,11,6,340748337,108097240,104,/etc/ld.so.conf.d/docker-openjdk.conf
jruby,latest,11,1,340748337,123905223,44,/etc/ld.so.conf.d/libc.conf
jruby,latest,11,1,340748337,123905223,100,/etc/ld.so.conf.d/x86_64-linux-gnu.conf
jruby,latest,11,1,340748337,123905223,118,/etc/localtime
jruby,latest,11,1,340748337,123905223,494,/etc/nsswitch.conf
jruby,latest,11,1,340748337,123905223,922,/etc/passwd
jruby,latest,11,1,340748337,123905223,8,/etc/timezone
jruby,latest,11,1,340748337,123905223,202680,/lib/x86_64-linux-gnu/libcrypt.so.1
jruby,latest,11,1,340748337,123905223,1839792,/lib/x86_64-linux-gnu/libc.so.6
jruby,latest,11,1,340748337,123905223,18688,/lib/x86_64-linux-gnu/libdl.so.2
jruby,latest,11,1,340748337,123905223,1321344,/lib/x86_64-linux-gnu/libm.so.6
jruby,latest,11,1,340748337,123905223,51696,/lib/x86_64-linux-gnu/libnss_files.so.2
jruby,latest,11,1,340748337,123905223,464848,/lib/x86_64-linux-gnu/libpcre.so.3
jruby,latest,11,1,340748337,123905223,149520,/lib/x86_64-linux-gnu/libpthread.so.0
jruby,latest,11,1,340748337,123905223,39912,/lib/x86_64-linux-gnu/librt.so.1
jruby,latest,11,1,340748337,123905223,187792,/lib/x86_64-linux-gnu/libtinfo.so.6
jruby,latest,11,8,340748337,42020758,582,/opt/jruby/bin/irb
jruby,latest,11,8,340748337,42020758,14675,/opt/jruby/bin/jruby
jruby,latest,11,8,340748337,42020758,0,/opt/jruby/bin/.jruby.java_opts
jruby,latest,11,8,340748337,42020758,90382,/opt/jruby/lib/jni/x86_64-Linux/libjffi-1.2.so
jruby,latest,11,8,340748337,42020758,15856997,/opt/jruby/lib/jruby.jar
jruby,latest,11,8,340748337,42020758,497,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/core_ext/name_error.rb
jruby,latest,11,8,340748337,42020758,1002,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/formatters/plain_formatter.rb
jruby,latest,11,8,340748337,42020758,1833,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/jaro_winkler.rb
jruby,latest,11,8,340748337,42020758,1377,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/levenshtein.rb
jruby,latest,11,8,340748337,42020758,3531,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean.rb
jruby,latest,11,8,340748337,42020758,1324,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/spell_checker.rb
jruby,latest,11,8,340748337,42020758,310,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/spell_checkers/key_error_checker.rb
jruby,latest,11,8,340748337,42020758,1532,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/spell_checkers/method_name_checker.rb
jruby,latest,11,8,340748337,42020758,1242,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/spell_checkers/name_error_checkers/class_name_checker.rb
jruby,latest,11,8,340748337,42020758,605,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/spell_checkers/name_error_checkers.rb
jruby,latest,11,8,340748337,42020758,1988,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/spell_checkers/name_error_checkers/variable_name_checker.rb
jruby,latest,11,8,340748337,42020758,104,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/spell_checkers/null_checker.rb
jruby,latest,11,8,340748337,42020758,42,/opt/jruby/lib/ruby/gems/shared/gems/did_you_mean-1.3.0/lib/did_you_mean/version.rb
jruby,latest,11,8,340748337,42020758,182,/opt/jruby/lib/ruby/gems/shared/gems/irb-1.0.0/exe/irb
jruby,latest,11,10,340748337,2507164,1713,/opt/jruby/lib/ruby/gems/shared/specifications/bundler-2.3.9.gemspec
jruby,latest,11,8,340748337,42020758,15724,/opt/jruby/lib/ruby/gems/shared/specifications/default/bundler-2.2.29.gemspec
jruby,latest,11,8,340748337,42020758,1468,/opt/jruby/lib/ruby/gems/shared/specifications/default/cmath-1.0.0.gemspec
jruby,latest,11,8,340748337,42020758,2147,/opt/jruby/lib/ruby/gems/shared/specifications/default/csv-3.1.2.gemspec
jruby,latest,11,8,340748337,42020758,1498,/opt/jruby/lib/ruby/gems/shared/specifications/default/e2mmap-0.1.0.gemspec
jruby,latest,11,8,340748337,42020758,7363,/opt/jruby/lib/ruby/gems/shared/specifications/default/ffi-1.15.4-java.gemspec
jruby,latest,11,8,340748337,42020758,993,/opt/jruby/lib/ruby/gems/shared/specifications/default/fileutils-1.4.1.gemspec
